params,sharpe_ratio
"{'bollinger_std_dev': 3.111533305865226, 'bollinger_window': 12, 'sl_factor': 1.079409912410245, 'tp_factor': 5}",0.016366392444859244
"{'bollinger_std_dev': 2.969816197377211, 'bollinger_window': 42, 'sl_factor': 0.7795223882129072, 'tp_factor': 4}",0.01573292557175116
"{'bollinger_std_dev': 2.4726798695438905, 'bollinger_window': 10, 'sl_factor': 0.7860017252680004, 'tp_factor': 17}",0.01441600792216872
"{'bollinger_std_dev': 2.7485663023100617, 'bollinger_window': 10, 'sl_factor': 1.06181450389871, 'tp_factor': 18}",0.012744231591516605
"{'bollinger_std_dev': 2.1016194083620023, 'bollinger_window': 19, 'sl_factor': 0.730814051951359, 'tp_factor': 4}",0.011260729318330512
"{'bollinger_std_dev': 1.9263020614687578, 'bollinger_window': 18, 'sl_factor': 0.6532868792999827, 'tp_factor': 9}",0.01086514612421632
"{'bollinger_std_dev': 1.9357648774458804, 'bollinger_window': 20, 'sl_factor': 1.1415263582930493, 'tp_factor': 9}",0.010642283600922396
"{'bollinger_std_dev': 2.1525594622794513, 'bollinger_window': 24, 'sl_factor': 1.177647353504054, 'tp_factor': 9}",0.010446669758867246
"{'bollinger_std_dev': 1.625905873254219, 'bollinger_window': 13, 'sl_factor': 0.7936534475276806, 'tp_factor': 18}",0.006255429229639695
"{'bollinger_std_dev': 2.4422637047330342, 'bollinger_window': 18, 'sl_factor': 0.68334713118133, 'tp_factor': 5}",0.003853257956956786
"{'bollinger_std_dev': 2.8560512548605645, 'bollinger_window': 19, 'sl_factor': 0.8329353747965829, 'tp_factor': 3}",0.0017010310486852392
"{'bollinger_std_dev': 2.303917228756238, 'bollinger_window': 36, 'sl_factor': 0.8753815188295417, 'tp_factor': 4}",0.00023526051031955186
"{'bollinger_std_dev': 2.8329442541554206, 'bollinger_window': 49, 'sl_factor': 1.0854178596491417, 'tp_factor': 16}",-0.0038384032545952067
"{'bollinger_std_dev': 2.0871032091140522, 'bollinger_window': 50, 'sl_factor': 1.0046945516926318, 'tp_factor': 5}",-0.004928242788353056
"{'bollinger_std_dev': 2.9438311506323025, 'bollinger_window': 16, 'sl_factor': 1.1932217113402803, 'tp_factor': 3}",-0.007918357841298697
"{'bollinger_std_dev': 3.26297723264192, 'bollinger_window': 28, 'sl_factor': 0.830626023592182, 'tp_factor': 3}",-0.008501756601473438
"{'bollinger_std_dev': 3.489241578894744, 'bollinger_window': 18, 'sl_factor': 0.8356677862297262, 'tp_factor': 4}",-0.012755010855111144
"{'bollinger_std_dev': 3.4344450021880335, 'bollinger_window': 14, 'sl_factor': 1.0171338820648106, 'tp_factor': 7}",-0.021850664052886458
"{'bollinger_std_dev': 2.9640783877226786, 'bollinger_window': 47, 'sl_factor': 0.8989128634363678, 'tp_factor': 8}",-0.03659215992783551
"{'bollinger_std_dev': 3.3780905320784385, 'bollinger_window': 18, 'sl_factor': 0.7439210017437983, 'tp_factor': 11}",-0.1598494296575739
"{'bollinger_std_dev': 3.1035029131399146, 'bollinger_window': 26, 'sl_factor': 0.8379278559241434, 'tp_factor': 17}",-0.34243056418923423
"{'bollinger_std_dev': 2.766687906265919, 'bollinger_window': 13, 'sl_factor': 0.7447690830335221, 'tp_factor': 11}",-0.3806127618765842
"{'bollinger_std_dev': 3.033899010955084, 'bollinger_window': 20, 'sl_factor': 0.7983678945657036, 'tp_factor': 10}",-0.4773226044583631
"{'bollinger_std_dev': 2.571693206701036, 'bollinger_window': 12, 'sl_factor': 0.8510225704975152, 'tp_factor': 15}",-0.49295816930972985
"{'bollinger_std_dev': 3.1056892822849185, 'bollinger_window': 22, 'sl_factor': 1.0222238643622776, 'tp_factor': 24}",-0.5024782024454658
"{'bollinger_std_dev': 3.4013432933811467, 'bollinger_window': 44, 'sl_factor': 1.1573953522057243, 'tp_factor': 20}",-0.5499459578875827
"{'bollinger_std_dev': 3.3576424012618507, 'bollinger_window': 43, 'sl_factor': 1.072145757112771, 'tp_factor': 13}",-0.5596779723025077
